empid,LEAVE_CAT,AGE_CAT,GENDER_CAT,A1,A2,A3,A4_CAT,A4a_CAT,A5_1_CAT,A5_2_CAT,A5a1_1_CAT,A5a1_2_CAT,A6_1_CAT,A6_2_CAT,A8_1_CAT,A8_2_CAT,A9_1,A9a_1_CAT,A10_1,A10_2,A11_1,A11_2,A12_1,A12_2,A13_1_CAT,A13_2_CAT,A14_1,A14_2,A15_1_CAT,A15_2_CAT,A16_1_CAT,A16_2_CAT,A19_1_CAT,A19_2_CAT,A19a_1_CAT,A19b_1,A19b_2,A19c_1_CAT,A19c_2_CAT,A19d_1_CAT,A19d_2_CAT,A20,na21_1,na21_2,na21_3,na21_4,A23a_CAT,A23b,A23c,A23d,A23e,A23f,A23g_CAT,A26,A28,A29_1_CAT,A29_2,A30,A33,A35,A39,A41_CAT,A42_CAT,A44,A45,A46a,A46b,A46c,A46d,A46e,A46f,A47a,A47b,A47c,A47d,A47e,A47f_CAT,A48a,A48b,A48c,A48d,A49,A50,A52a,A52b,A52c,A52d,A52e,A53a,A53b,A53c,A53d,A53e,A53f,A53g,A53h,A54,A55,A59,A60,A61_1_CAT,A61_2,A62a,A62b,A62c,A62d,A62e,A62f,A62g,A62h,A62i,A62j,A63,A64,B1,B3,B4_CAT,B5_CAT,B5a,B5b_CAT,B6_1_CAT,B6_2_CAT,B6_3_CAT,B7_1_CAT,B7_2_CAT,B9_1_CAT,B9_2_CAT,B9_3_CAT,B11_1,B11_2,B11_3_CAT,B12_1,B12_2,B13_1,B13_2,B14_1_CAT,B14_2_CAT,B14_3_CAT,B14a_1_CAT,B14a_2_CAT,B14a_3_CAT,B15_1_CAT,B15_2_CAT,B15_3_CAT,B15_4_CAT,B15_5_CAT,B17,B19a,B19d,B19f,B19h,B20a,B20b,B20c,B20d,B20e,B20f,B20g,C1,E1,E2,E3_1,E3_2,E3_3,E3_4,E3_5,E4,E4a_1,E4a_2,E4a_3,E4a_4,E4a_5,E4a_6,E4a_7,E4a_8,E4a_9,E4a_10,E4a_11,E5,E6_1,E6_2,E6_3,E6_4,E7_1,E7_2,E7_3,E7_4,E7_5,E7_6,E7_7,E7_8,E8,E9_1,E9_2,E10,E11,E12,E13,E14,E15_CAT,D1_CAT,D2,D3,D4_CAT,D5,D6_1_CAT,D6_2_CAT,D6_3_CAT,D6_4_CAT,D7_CAT,D8_CAT,D9,D10,D11,weight,rpl01,rpl02,rpl03,rpl04,rpl05,rpl06,rpl07,rpl08,rpl09,rpl10,rpl11,rpl12,rpl13,rpl14,rpl15,rpl16,rpl17,rpl18,rpl19,rpl20,rpl21,rpl22,rpl23,rpl24,rpl25,rpl26,rpl27,rpl28,rpl29,rpl30,rpl31,rpl32,rpl33,rpl34,rpl35,rpl36,rpl37,rpl38,rpl39,rpl40,rpl41,rpl42,rpl43,rpl44,rpl45,rpl46,rpl47,rpl48,rpl49,rpl50,rpl51,rpl52,rpl53,rpl54,rpl55,rpl56,rpl57,rpl58,rpl59,rpl60,rpl61,rpl62,rpl63,rpl64,rpl65,rpl66,rpl67,rpl68,rpl69,rpl70,rpl71,rpl72,rpl73,rpl74,rpl75,rpl76,rpl77,rpl78,rpl79,rpl80,A5_2_CAT_REV,A13_2_CAT_REV,E15_CAT_REV
1880,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,1,1,3,,1,2,,2,1,8,1,1,,3,,2,4,2,4,,,,0,0,2,1,2,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,175204.582,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,87602.29101,,,
271,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,,,,2,1,,,,,1,,,,,,1,1,2,3,4,2,2,2,2,1,1,1,,1,1,,2,1,9,1,1,,5,2,1,7,2,5,,,,0,0,2,1,2,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,54665.4346,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,27332.7173,,,
1989,4,2,2,1,1,2,3,3,1,,,,,,,,,,3,,1,,1,,9,,1,,,,,,26,,,,,,,,,1,3,,,,1,1,2,1,1,2,4,1,2,5,,1,1,1,1,8,11,4,2,,,,,,,,,,,,,,,,,,,1,2,1,1,2,1,2,2,1,1,1,1,2,5,2,3,,20,,,,,,,,,,,,,,1,1,2,1,1,,1,,,,,,,,3,,,1,,1,,2,,,2,,,1,2,,,,,,,,,1,1,,,,,2,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,3,1,6,,,,4,0,2,5,1,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,20846.08372,41692.16744,20846.08372,20846.08372,20846.08372,,,
460,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,2,1,1,,,,1,,,,,2,1,3,4,,,2,2,2,1,1,1,1,,1,1,,2,1,8,1,1,,6,2,1,7,1,6,,,,0,0,2,6,2,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,149262.5465,0,149262.5465,,,
294,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,,,,,1,,,1,,1,,,,,,,2,,,,,1,2,2,2,2,2,2,,1,3,,1,2,8,2,,,7,,2,10,2,5,,,,0,0,2,1,2,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,0,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,143858.6876,,,
1365,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,,,,,,,,,,,,,,,,,2,,,,,2,2,2,,1,2,2,,1,2,,2,1,8,1,1,,2,,2,4,2,4,,,,0,0,2,1,2,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,0,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,266829.4605,,,
2791,1,9,1,1,1,2,1,1,1,,,,,,,,,,1,,1,,1,,2,,1,,,,,,10,,,1,,1,,1,,,6,,,,4,2,2,1,2,1,4,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,,,2,1,2,2,2,,2,2,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,2,,,,,2,2,2,2,1,2,1,,,2,,2,1,8,1,2,4,6,,2,10,2,5,,,,0,0,2,1,2,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,16669.31635,8334.658173,8334.658173,8334.658173,8334.658173,8334.658173,,,4
1773,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,1,,,,,,1,,1,1,1,2,,,2,2,2,1,1,1,1,,2,2,,2,1,7,1,1,,5,,2,8,2,5,,,,0,0,2,1,2,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,0,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,65888.37625,,,
2094,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,2,,,,,1,,1,2,2,1,,1,1,2,,2,1,8,1,2,3,5,,2,6,2,2,,,,1,0,2,6,2,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,143687.8764,0,143687.8764,,,4
197,1,2,1,1,2,2,1,,17,,8,,,,,,,5,,,2,,,,18,,1,,,,,,13,,,,,,,,,,6,,,,4,2,3,2,2,1,4,2,,,,,,,,,12,,1,1,,,2,,2,1,,,,,,2,2,2,2,1,,1,2,2,2,2,,,,,,,,,,,1,2,,,2,1,2,2,1,,1,,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,1,1,1,,1,1,,2,1,9,1,1,,3,1,2,6,2,5,,,,2,0,2,1,2,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,88256.28903,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,44128.14452,,,
769,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,,13,,,,,6,,,3,,,1,,1,,4,,,1,,,5,,,,,,,,,,2,2,2,1,,2,2,,1,2,,,,,,,,,,,,,,,,,,2,,,,,2,2,2,2,1,2,1,2,1,2,,2,1,6,1,1,,3,3,1,,2,,,,,4,0,2,3,2,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,0,10076.03007,10076.03007,10076.03007,10076.03007,10076.03007,,,
805,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,,,,,1,1,,,1,,,,,,,1,1,1,,,,3,1,2,1,2,1,1,,1,1,,2,2,6,1,1,,6,,2,10,2,5,,,,0,0,2,1,2,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,0,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,5506.335888,,,
2097,1,6,1,1,2,2,1,,1,,,,,,,,,,1,,1,,1,,15,,1,,,,,,23,,,,,,,,,,3,,,,4,2,1,2,2,1,4,1,1,,,2,2,1,2,6,3,1,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1,2,2,2,1,4,1,1,1,,,1,2,1,2,2,,1,1,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,4,2,5,,,,0,0,2,4,2,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,144998.1952,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,72499.09761,,,
2248,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,1,,,,2,,1,,,,,,,2,2,1,2,1,2,2,,2,2,,2,1,7,2,,,3,,1,10,2,5,,,,0,0,2,6,1,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,0,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,67856.08897,,,
2762,1,1,2,1,1,2,1,1,,,,,,,,,,,,,2,,,,9,,1,,,,,,18,,,,,,,,,,,,,,1,1,2,2,2,1,4,2,,,,,,,,,8,1,2,,,,,,,,,,,,,,,,,,,1,1,,2,,1,2,1,2,2,2,2,2,1,2,2,,10,,2,2,2,2,2,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,,2,2,2,2,,2,2,9,2,,,3,,2,10,2,5,,,,0,0,2,6,2,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,26536.32249,0,26536.32249,26536.32249,26536.32249,,,
83,1,7,2,1,1,2,4,2,13,1,,,,,6,,2,,1,1,1,1,1,1,7,2,2,1,2,,0,,10,5,,,,,,,,2,2,,,,4,2,2,2,1,1,4,2,,,,,,,,,,,1,1,,,2,2,,1,,,,,,2,1,2,2,1,,1,2,2,2,1,,,,,,,,,,,1,,,,2,2,1,2,2,,2,2,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,2,,1,,,1,1,,,,1,,2,,,,,1,1,2,1,1,1,1,1,2,1,,2,1,9,1,1,,6,1,1,10,2,4,,,,1,0,2,1,2,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,0,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,3866.513379,1,2,
